"","text","sentiment"
"1","   learnt  travelling  south korea   pandemic  ","negative"
"2","bighitter  read     idiot   travelling   pandemic               shut  fuck  lol","negative"
"3","  tfwrail train  travelling  birmingham  holyhead    carriages  jammed  people  toilets          global pandemic    strain spreading    poor service  dangerously irresponsible","negative"
"4","mattgallowaycbc  call  thick    travelling   pandemic    leaders  exacting  example  taking stringent steps  halt  spread  closing boarders instead  implanting useless amp chaotic rules guess  leadership     ","negative"
"5","celinegounder  testing requirements  travelling   pandemic  incubation period   short people   tested negative hours     time  boarded  flight  test positive celinegounder","negative"
"6","booshmeister    oh  dont      mid size suvs   set     ltpickup truckgt yeah im travelling    cargo     rain compact suv     jetta reserved  month  advance pre pandemic   ","neutral"
"7","bd sabcnews enca hey cyril     job   vax salesman  travelling  tax payers money peddling   pandemic vax    phuktard dicktator mates","neutral"
"8","byoung wholemarsblog omicron   spread    vaccinated travelling individuals  countries  don allow unvaccinated  travel  narrative  unvaccinated causing  pandemic   stop  society digests ","neutral"
"9","travelling   pandemic  fcking simpathy   ","negative"
"10","telegraphtravel travelling   pandemic  fcking simpathy  ","negative"
"11","pilgrimfarms cchisu cbcnews    choice  wasnt due   lack  health care  canada   original comment  inferring people travelling   pandemic    prepared   eventualities bitching    follow  guidelines coming home  ridiculous","negative"
"12","girlwestcoast masamonae globalnews travelling   third world country  africa   pandemic  severe dietary health issuesyeah okay sympathy lost","neutral"
"13","birlios    privilege  travelling internationally   global pandemic    nations grounded  whined   precautions      safe","negative"
"14"," weeks ago travelling   pandemic  crazy annoying    booking hotels  train seats","negative"
"15","birlios iananywhere yup  ve     spend        country    travelling    middle covid   near    pandemic  accepting  risks","negative"
"16","   hold  country accountable financially   massive virus pandemicnot speaking  sooner etc   human   accrue  suffer  costs ppl   robbed paying   teststravelling etcamppoorest wno phones etc sufferagainthe ","negative"
"17","piersmorgan  mean    kept shrieking  people travelling   pandemic    holiday yourself twice   pandemic    kept shrieking  mass gathering     football  people youre   virtue signaling mouthpiece","negative"
"18","wbuxtonofficial focus   travelling     pandemic   huge bonus   book   traveling   mail reason  spreads   doing    actually helling   pandemic","negative"
"19","   au pair travelling  germany  wales   pandemic    community  cold water dipping wildswimming ","negative"
"20"," flexibility   anytime  especially   travelling   pandemic     ","neutral"
"21","fairyfairhurst realdenisewelch   own fault  travelling     middle   pandemic maybe shes learned  lesson ","negative"
"22","bbcbreakfast bbcpolitics  travelling abroad   pandemic    necessity   people     ","negative"
"23","  stop  gayz travelling   global pandemic    plane tickets  vinyls  love      solely responsible   travel industry economy  ","negative"
"24","jewelsdoyle  spouted       travelling   pandemic ","negative"
"25","wbuxtonofficial        travelling   pandemic","negative"
"26","hey redhunttravel   tell   started   travel company     else    fun   middle   pandemic hope  actually start travelling     catch   ","negative"
"27","mental   government  profiting   pandemic       test   uk  fine   send    free     re travelling    buy   test kit   friends randox  multiple mps   stake ","negative"
"28","telegraphtravel telegraph  justified  complain  social costs  travel   type  increasedbroader spread   pandemic   internalised   individuals travelling testing helps reduce  social costs  actually  sort  travel offset tax  ","negative"
"29","leechih globaltimesnews wta  happened   travelling  hubei   don      hubei   tourism  million people  died   global pandemic     controlled  ground zero  beijing intentionally     cash   ppe monster","neutral"
"30","ahindinews donanantsingh   bjp central govt failure  country  facing pandemic rises shame  modi govt bjp govt didnt closed airports  allowed travelling passengers  enter   testing  govt     bjp central govt  busy witj elections campaigning","negative"
"31","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia","negative"
"32","mlarksmith im    crazy  traveling   pandemic maybe   reach  safe stage    ill   travelling  home","negative"
"33","cant believe  am actually travelling outside bangalore   st time   pandemic  time  teach  bunch  super enthusiastic pg diploma applied theatre students  appliedindia appliedtheatre theatreineducation appliedtheatreinindia pandemictravel","neutral"
"34","andrewt morning andy   understand  discomfort  travelling   busy train customer safety  remained  top priority  ours throughout  pandemic   continue     transform  wales  borders network    run services   wasnt safe   soned","negative"
"35","      thru  pandemic mightve actually  harder    usual worldtravelling routine maybe   physically  mentally    alert providing nonstop content thru   anxieties amp uncertainties mustve  exhausting","negative"
"36","  qantas enforcing  expiry due  months inactivity   pandemic   airlines   doing  utterly stupid   welcome people   travelling qantas qantasff fuckqantas","negative"
"37","muscmaker akheriaty kksheld         matters     global pandemic     travelling internationally    cdc recommends eg measles vaccine doses    weeks  departure   protected","negative"
"38","   travelling abroad   pandemicwhat  wrong   simonenglish people   stupid  feel  entitledthey    able  leaves  homes    country","negative"
"39","bernamatv     hold election  pandemic  jail term   hold   hold ensure  travelling  east  west  mth elections","negative"
"40","bbcworld    travelling abroad  england     changes  testing requirements      pay   test amp  moan   additional cost  chose    holiday  pandemic   british tax payer","neutral"
"41"," perks  travelling   pandemic   active variant  concern  guess","negative"
"42","  stay safe  travelling   pandemic  vital concerns   traveller gtgt ascottstarrewardsmembershipprogramme discoverasr ","negative"
"43","mattgallowaycbc  struggle    sympathy   travelling   continents   pandemic  mean   try  stay  north america","negative"
"44","dadstanich yep born  raised lol yeah     time travelling   pandemic  yeah normally  test   free  cheap depending         travel     thats expensive   free","negative"
"45","depresses   im  months   havent  travelled  ive    fear  travelling due     look   sexuality    pandemic   opportunity  ive        cant wait  start   journey  ","negative"
"46","hi niabbot listening   talking  simoncalder   forget theres  global pandemic global   spreads  people travelling  foreign holidays   luxury  travel industry    care  profits  peoples health ","negative"
"47","packing impahla  day  travelling   real pandemic","neutral"
"48","drewlawdesign travelling   pandemic ","negative"
"49","strombo    happy  app       oh    fixed   pandemic   started travelling  ","neutral"
"50","tuonanh nooo   curious     possibility       pandemic     gonna   wait        lenient    attempt travelling  bts ","negative"
"51","      mj musical   travelling   york  gonna  difficult   pandemic ","neutral"
"52","globalbc  sympathy   canadian dollar    spent  try  arrange     home travelling   pandemic     poor medical system  raging pandemic  foolish   capital  media   ridiculing   trying sympathy","negative"
"53","reedcurtis travelling   middle  pandemic     reconsider particularly   light  omicron spreading stay home  stay safe","neutral"
"54","  covid pandemic particularly  travel restrictions prevented people  travelling   miles   homes  canal towpaths   vital lifeline  city dwellers seeking  connect  nature canalmagic urbanregeneration eurocities ctopley ","neutral"
"55","fursiers britishairways  shouldnt  travelling   pandemic serves   ","negative"
"56","tobystephensinv wait   omicron suddenly     people  travelling abroad     lost  wife     sorry   people  authorities  action  responsibility   beginning   pandemic  wouldn    situation","negative"
"57","chrisobrien flossybball dying      country     travelling   pandemic negative pcr  negative antigen test   stuck    rapier wit  handsome ","negative"
"58"," days    comes   close    started slowly    travelling    damages  pandemic  inflicted  tourism  imma    somehow happen  planned ","negative"
"59","lots  people     managed     films  read      short answer   pandemic  increase   normal averages  travelling  family   socialising films  books  escapism love   miss   stuff","negative"
"60","cbcnews    canadians   stuck  south africa  ottawa suspended travel   country  neighbouring countries    week ago    risk travelling   pandemic suck   buttercup  ","negative"
"61","    longdistance flight    forget   travelhygiene habits rest  head   tips instead   ","neutral"
"62","kathrynmathias supriyadwivedi     angry   twitter warriors   judgmental  canadians   media   stuck  south africa due   multicountry flight bans    government restrictions  travelling      pandemic travel protocols maintained","negative"
"63","ctvqp    travelling   pandemic dont whine  delays","negative"
"64","ctvqp yes stop travelling   pandemic donate  money  immunize  world","neutral"
"65","  unvaxxed   cause   pandemic   despite  vaccinated  spreads  virus amp    test especially  travelling  vaccinehumour novaccinepassports","negative"
"66","saying  shouldn travel   pandemic    risks  travelling  response    fucking ridiculous   ve  vaccinated    pcr tests maybe    covid     paying    quarantine hotel ","negative"
"67","covidsolidarit xtrtrrstrl      government     partied   worst  pandemic  christmas    senior advisor    travelling length  england    suffering  covid","negative"
"68"," people  pick   virus   stayed    month travelling     post xmas lockdown  son     sick  months   help  else  helping   job   pandemic    prep  attend  stand  morgue","negative"
"69","guardian     rail network  frequent services   pandemic recedes  climate change   major challenge   people  stop travelling  car  move  trains    bonkers","negative"
"70","seunghoon  sweetest    pandemic     start  travelling vlog   bestie  enlist   hoony  seunghoon officialhoony ","negative"
"71","goodbye germany  hello australia   travelling   pandemic  via   patreon   instagram puntingforthepeople business  youtube","negative"
"72","filipfrid whatkaileysaid westjet    thank   filling   forms  telling    claim   processed   heard    pandemic drags   likelihood   travelling dwindles  wonder      waiting  money   rightfully ours ","neutral"
"73","travelling   polar expedition   pandemic    experience   people     luckily  egucr egublogs ninja   trusty scientist sidekick dareliuselin  shared  adventure   lego comic read   ","negative"
"74","thank    story   traveller  missed travelling   pandemic lockdown    travel addict ","negative"
"75","miss travelling     hope  travelling      addiction     mere hobby thanks   covid global pandemic  am  desperate        plane  promise   complain   hauls   future","negative"
"76","yes travelling  tanzania   pandemic  travel adventure safari","neutral"
"77","ringrust via ewrestlingnews updated match list  mcmahonopolis travelling circus spectacular dayone  peacocktv   disunitedstatesofdiabeetusberg amp wwenetwork  countries   doing whats      pandemic ","negative"
"78","bariiiiiq omg  looove      booster  requirement  travelling      pcr   travel haven     pandemic started     sounded    logistical nightmare   tweet  calling   ","negative"
"79","haggisuk  andrewmarr  aware    pre tests  people travelling  uk   standard procedure   pandemic       planned strategy      late","negative"
"80","itsemilykaty      students wishing   gap   time   travelling  globetrotting  pandemic       abit     ","negative"
"81","travelling  tanzania   pandemic  luxury travel blog  luxurytravel ","neutral"
"82","thebtaorg clivewratten  sector   impacted   pandemic     choose  loss  profits  loss  lives  guess     profits     unnecessary loss  lives   untested people travelling  world  perpetuating  mess ","negative"
"83","yodifiji stop pandering  uk travellers abroadthey   risk travelling   world pandemic    suck   consequenceswe       scrambling  beat  restrictionsfor god sake   outor stick     quantine hotels  return","negative"
"84","fionasdaly   pandemic fiona  shouldnt  travelling  theres  sofa   name   stay  ","negative"
"85","  pope   age  travelling   middle   pandemic    mask  pope francis visits asylum seekers  lesbos island  via rte","negative"
"86","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia","negative"
"87","lauraaj     pandemic    travelling  waterloo  euston  week    deserted   basically   trains   ","negative"
"88","youngeconomist ballouxfrancois yes indeed amp  cost  borne    choose  travel   pandemic notwithstanding  choices  harder      messages   travelling    definitions        hit  economy possibly harder","negative"
"89"," shouldnt  travelling    tourism industry complaigning     able  visit customers    trade   months   pandemic travelling  holidays   smart im  extra risk     elderly family","neutral"
"90","aaronboothuk carldinnen  guess   insist  travelling   global pandemic","negative"
"91","travelling   country   pandemic   cumbersome   external factors   beyond  control imagine testing positive     board   vacay    stuck   country  quarantine  time  finished   money  vacay ","negative"
"92","  pandemic started  china  posture   save  world  theres   variant      africa            world  posture   ban africa    im   fussed  travelling   continents","negative"
"93","heathrownoise grantshapps sajidjavid    hour   am planes      london   minutes    pandemic    variant     climate crisis   travelling   covid mentalhealth climateactionnow","negative"
"94","cbcnews     cdns living abroad  travelling abroad      protect  health  cdns living   amp  healthcare system       entry except cdns   abide   rules months  telling cdns pandemic rules change amp  prepared","negative"
"95","heathrownoise    sunday morning    plane      people travelling   pandemic    climate crisis planestupid heathrowmustnotexpand","negative"
"96","apropos  cy goddard    central coast    boy  country   choose  play     australia    pandemic   travelling  japan hard  japan   unlikely  start   ","negative"
"97"," coronavirus pandemic      bind travelling   restricted   meeting  extended family   friends thanks post signature   christmaspresents ","negative"
"98","yvesrees theres  pandemic   people travelling     city  congregate   spot      stupid   protest","negative"
"99","tassiedevil im thinking   relatives  mine  jumped  cue  vaccines    safe recreationally travelling     pandemic","neutral"
"100","   discovered   covid pandemic stopped   travelling       local  road trips roadtrips travel covid newnormal localtravel ","negative"
"101","     institution   beginning     wouldnt   teach  unit  home    students  begging     virtual     unsafe   travelling  london  bristol   pandemic half  pay   trains ","negative"
"102","gavreilly  makes  sense alright      risk  risk  goes  travelling abroad   pandemic      allowing covid positive travellers board planes   viable alternative","negative"
"103","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall ","neutral"
"104","   mother   french    sending  child  school  france     uproar   family travelling   taxpayer salary   fucking pandemic","neutral"
"105","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall ","neutral"
"106","  time travelling   pandemic started   handbag    disposable masks  anti bac wipes  bloody  chaps","negative"
"107","ritapanahi wow thats  ours cost   start   pandemic guess  arent  pcr tests  australia     travelling","negative"
"108","cardiffrugbyweb rugbyap maybe morons shouldn  themselves    ridicule   league   bad   quit  tough shit    pandemic    risk  travelling abroad fuck      welsh government","negative"
"109","  artists adapt  creative process  pandemic annesophie emard combining    live experiences amp  urge  convey  travelling limitations implementing    digital channels   source  information amp communication creartconference creartvll ","negative"
"110","  travelling   homes     variant      difficult  understand airlines  suffered      helped      pandemic humble request please ","negative"
"111","travelling   polar expedition   pandemic    experience   people     luckily  egucr egublogs ninja   trusty scientist sidekick dareliuselin  shared  adventure   lego comic read   ","negative"
"112","stxdm rugbyap    hemispheres   pandemic    playing  countries  little   travelling fans officials  games   employed    people   players   refereeing   dead league     ","neutral"
"113","   try  avoid travel   days   pandemic      avoid travelling  indigoe   usual indigo  misses  opportunity  cheat  loot passengers  carry  screenshot  web checkin else ready  pay  penalty","negative"
"114","  pandemic      people   travelling     honestly   vaccination status   required   pandemic   look beyond      ","neutral"
"115","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia","negative"
"116","justintrudeau jjhorgan omnitron    pandemic   vaccinated   rule     ones travelling thanks   heeding   own warning     pandemic  selfishly   unnecessary trips","negative"
"117"," speaking   lok sabha  forth  query  aviation ministry      initiative  establish minimum standard operating procedures   ease  vaccinated passengers  establish uniformity  travelling   pandemic mocagoi covid ","neutral"
"118","beingsalmankhan   global pandemic       backi   virus   thru   visits india    eyes  red fill smell bad  nose     care     travelling  ","negative"
"119","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall ","neutral"
"120","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall ","neutral"
"121","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall ","neutral"
"122","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall ","neutral"
"123","maycarlen hahaha    deliver  variant   country   die      spreading corona don blame   unvaccinated people blame  people  travelling   world    pandemic","negative"
"124","indianindex harshmadhusudan   half    trains  shut  passengers travelling   railways   drastically reducedthanks  pandemic ofcourse  death index    zero","negative"
"125","sulapesi   maybe     try check   electrical retailers sorry       havent  travelling recently due   pandemic","negative"
"126","  hope  pandemic   soon  miss  beach  travelling  ","neutral"
"127","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall ","neutral"
"128"," book musicscapes  scotland vignettes  prehistory  pandemic     amazon     bookshop      paddledoo books site   kindles  release  folk amp traditional music travelling folk dec scottishmusic ","negative"
"129","artoferin oh wow    amazing ll actually   mid   knock  wood re pandemic   seattle  hopefully travelling   bit","negative"
"130","justintrudeau jjhorgan adriandix  delta variant  dubbed  pandemic   unvaccinated  unvaccinated  banned  travelling   omnicron   dubbed  pandemic   vaccinated      ones allowed  travel","negative"
"131","dfisman     virus    hospital  travelling via  human     aerosol transmission blowing  outdoors   indoors","negative"
"132","starvancouver     guessed  travelling   pandemic   problematic  figure","negative"
"133","mywestldn   risk   travelling   pandemic","negative"
"134","bcdelaney trishgreenhalgh   hundreds  senior clinicians travelling   world  spend time sharing indoor space   conference  days   middle   pandemic","negative"
"135","peterobinson hope  damn pandemic settles  allows easier travelling sick   masks  covid","negative"
"136","iaatkinson  dont     idea  ensure people travelling   pandemic  whatever reason   easily professionally  accurately  tested    dont  governments provide   access   airport    heathrow express  sell ","negative"
"137","jannarden  decided precovid  spend  time  money travelling  canada   pandemic   cemented  pledge   mean  car travel   flying  couldnt relax     intl trip","negative"
"138","  guardiannigeria piece travelling   era  covid pandemic ","negative"
"139","drtcombs huyenkle  am    happily   travelling  pandemic plus  sizzling planet    power telling     planned  hybrid","neutral"
"140","ve listened  significantlyyyy  music   normally    defo  result  pandemic    listen  music   travelling  especially     lot     usual obviously","negative"
"141","faefaehyung sadly  don        rule  korean nationals  response   omicron variant   didn            guess travelling   pandemic     carry  risk ","negative"
"142","travelling solo    time    nervewracking  cathartic experience  doing    pandemic     story  ","neutral"
"143","travelling   era  covid pandemic  guardian nigerianews ","neutral"
"144"," left wing debating travel bans makes  insane    pandemic    travelling  world     nonessential travel  havent       am concerned stay home  shut  unless travel  essential    ","negative"
"145","gbnews      believe   dont  remember   mess     pandemic    beginning  wasnt transmittable  humans     didnt   stop travelling    masks    didnt       ","negative"
"146","travelling   era  covid pandemic  guardian nigeria news nigeria  world news ","neutral"
"147","   people  toronto  travelling   city    pandemic  according   city  toronto report    situation   spell danger   holiday season approaches cityoftoronto cityoftoronto traffic travelling pandemic ","negative"
"148","yeonkook sexisiyeon naur totoo anyway  weren   pandemic  money   spent  travelling instead hahaha","negative"
"149","correction  ccpprc suppressed  detection   travel restrictions leveraged     travel   throttle   countries coerced   delay pandemic declaration massively infected northern italy  travelling factory workers ","negative"
"150","travelling   era  covid pandemic ","negative"
"151"," morning clivewratten   bbcnews talking   devastating impact    restrictions  international business travel  imperative  corporates  confidence  travelling  vital reasons   try  recover   pandemic yourbta covid","neutral"
"152","rafaelbehr pmdfoster helenebismarck  luck  im  travelling miles   family birthday party  saturday  im  kittens damn pandemic","neutral"
"153"," im looking  people   uk     changed  commute   pandemic  example  person im speaking    travelling    electronic skateboard maybe   cycle walk   miles    skip      journorequest","negative"
"154","blog link  throwback  staycation  changicove  singapore   pandemic changi hotel stay sleep bed restaurant buffet eat heritage fun play journey holiday vacation wanderlust trip travel blog travelblog travelblogger ","negative"
"155","uberindia   travelling  uber   feel safe   pandemic uber  try       drivers  passengers cover    masks  requested below driver  wear mask   replied ab  corona nae hai sir  didnt obey  rule ","neutral"
"156","mickyg hulleysofbaslow theoutdoorcity cpre   launched     pandemic  maybe odds      start  folk feel ok travelling    confined space   maskwearing strangers","negative"
"157","bbcnews  wouldn   risk  travelling  abroad   pandemic  foolhardy     yourself  blame   goes wrong","negative"
"158","openureyes vladimirootin chrissaccoccia yes september chris   travelling   europe   beginning   pandemic     restrictions   implementing  covid reached  ahead  north america    repeating   experienced ","negative"
"159","        married friends   planning  vacation  real hard   period  time      harder coz    travelling solo   bloody pandemic ","negative"
"160","asbrexit skynews people   decided  live abroad wont  able  travel  easily       health amp lives  risk     million   seen family   country   start   pandemic   travelling covid rats spreading virus randomly","negative"
"161"," aware   covid pandemic means  advice  change  short notice  travelling check     information ","neutral"
"162","received blessings  dr mansukhmandviya sir  travelling  russia   international prize    ceremony  motivation  guidance enabled   help maximum people   pandemic mohfwindia officeofmm ","negative"
"163","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia","negative"
"164","dear indigoe  senior citizen inlaws   travelling cjbpnq  week   terrified  travel   pandemic     cjb   assure   help   checkin","negative"
"165"," aware   covid pandemic means  advice  change  short notice  travelling check     information","neutral"
"166","prairiecentrist    exact reason   am opposed  nonessential travelers   income countries travelling  low income countries   pandemic   fall ill    countrys limited resources amp potentially spread virus   travel amongst undervaccinated pops","negative"
"167","denisegan alexberesfordtv  travelling  pandemic   stop im happy  guarantee   country  weeks  sadly   unvaccinated  travel   attend concerts       amazing   double    rug","neutral"
"168","travelling   pandemic means     prepared   plans   interrupted  short notice  key   book   providers  allow flexibility   change     updated travel guide  smartraveller  ","negative"
"169","sharkawymd prairiecentrist didnt germany  identify   guy   link  south african travelling  contact  pandemic management   getting worst  worst isnt   definition  insanity doing        hoping    outcome","negative"
"170","jesminbau ya   travelling anytime soon  due   pandemic  worth  time    quarantine  placed","neutral"
"171","sas   yearend results burdened   pandemic  news travel aviation avgeek air flights airlines flyer travellers travelling","negative"
"172","jackvwbacon paulmitchellab     travelso   spread covid    people travelling  double jabbed  pandemic   vaccinated","negative"
"173","oh    hate  freaking pandemic  travelling   annoying","negative"
"174","richardzussman   people travelling  bc  nigeria     worldwide pandemic           vaccinated","negative"
"175","bryanpassifiume air moroc cancelled flights   ma   time prepandemic    airline canceling flights     gac goc repeatedly warns travelers   risk  travelling internationally   pandemic amp risks  traveling  ma    ","negative"
"176","travelling  global pandemic havent learned   change   instant  whine govt doesnt drop   save  arse despite    boat er plane    help sit tight amp    lucky       country   help ","neutral"
"177"," live  seattle   wouldnt    convention   pandemic  cant  imagine travelling    ","neutral"
"178","travel insurance   cover    decision   government     closes borders mandates       quarantine    sort  governmentmandated decision  ","negative"
"179","  planning  travelling overseas weve seen  increase     people applyingreapplying  australian  overseas passports     people   talking  travelling overseas   pandemic       ","negative"
"180","travelling   pandemic plan   insurance wont cover insurance council ","neutral"
"181","richards jofus jonathanpienews  travelled sout east asia extensively   tell   dont wear masks   time pre pandemic    rarely wear masks    actually sick  travelling  bike  dusty congested ","negative"
"182","  contestants   chase    travelling   win  money   bognor regis   pandemic  aint  ","negative"
"183","people  travelling   city    pandemic   deciding  drive    modes report ","negative"
"184","  seeing people talking   ve  travelling  lot  tiktok       aww cute    realized  people    multiple countries   recreation   pandemic  damn  privilege smh","neutral"
"185","travelling   global pandemic  risky business  cdns stuck  sa maybe    waited","negative"
"186","hannahwoolmer  pandemic  stopped travelling  people   getaway     people   ","negative"
"187","sarahallsop theonew realdenisewelch freemanhospital southtees newcastlehosps yes beds prior   pandemic       ve     aged obese amp   comorbiditiesamp      vaccinated demographics    playi   perfusionist hubby  seen  travelling   country","negative"
"188","dianemarieposts gladysrbates  travelling     pandemic     alternate plan    shit goes ","negative"
"189","deetoriadee fuzzywuzzyto   wasn  beach vacation  holiday getaway travel  allowed    pandemic protocols  maintained mystified   partner travelling    wherever  family lives      couple situation caught  multicountry sa flight ban","negative"
"190"," pandemic    transport minister omaralghabra    people  thinking  travelling     travelling requirements  change","negative"
"191","hutch mrbluesboy rhysblumberg tomshanklin welshgovernment cardiffrugby prifweinidog elunedmorgan urcofficial     pandemic   started travel   restricted  clubs  travelling   time   possibility  restrictions   looming","negative"
"192","exploreruk redskykite    lie   compound  lie  accusing     doing   try travelling tabby       week scotland       england     look  figs   pandemic scotland usually lower tha uk","negative"
"193","joeharvey  bad   normal times  tonight belgium similar  week   earth      pandemic  teams travelling   europe  games   nailed  theyll lose  double digits","negative"
"194"," pandemic       people won sit  fuck   stop     weeks maybe  month tops        badly huh  virus doesn travel people    height   pandemic people   travelling sick   shit","negative"
"195","tonitaylor    stopped travelling     pandemic relatively quickly","negative"
"196"," cant   urc season surviving  fiasco  teams travelling  sa   middle   pandemic    able  protect themselves  covid       untenable bin     play  european season","negative"
"197","  aware   covid pandemic means  advice  change  short notice  travelling check     information ","neutral"
"198","try      cant summon   scintilla  sympathy   arseholes    travelling   countries   global pandemic winter holidays aint essential travel reportingscotland","negative"
"199","travelling        pandemic      difficult  imagine uhlokozwa ikhala   times  monththat process   fun  ","neutral"
"200","makaitah      overrated  aimed  people   illiterate  travelling    money  common sense kenya recently learnt  hard  ie global pandemic   luxury tourism  survive    money  targeting  own kenyan citizens","negative"
